12,[564.7824, 71.3288,-55.658 , 63.0871],[0.3816,0.7729,0.9425,0.3538,0.566 ]
734,[0.,0.,0.,0.],[-1.1346,-0.7002,-1.4777, 0.6988,-1.3742]
736,[0.,0.,0.,0.],[ 0.2084, 0.0712,-0.0035, 0.0844,-0.2602]
743,[0.,0.,0.,0.],[-0.5631, 0.021 ,-0.4356, 0.6097,-1.2236]
745,[0.,0.,0.,0.],[ 0.1018,-0.0852,-0.2084, 0.281 ,-0.2699]
754,[0.,0.,0.,0.],[-0.6571,-0.7309,-0.4356,-0.1915,-0.6623]
756,[0.,0.,0.,0.],[-0.6404,-0.213 , 0.0786, 1.2105,-1.4094]
758,[0.,0.,0.,0.],[-0.1017, 0.2659, 0.1563, 0.2632,-0.2429]
763,[0.,0.,0.,0.],[-0.0768,-0.1202, 0.0373, 0.0324,-0.5448]
765,[0.,0.,0.,0.],[ 0.6404,-0.1317,-0.2221, 0.2141,-0.9893]
767,[0.,0.,0.,0.],[ 0.2365,-0.0117, 0.2002,-0.0259,-0.3088]
769,[0.,0.,0.,0.],[-0.3058,-0.1954,-0.129 ,-0.0876,-0.2902]
776,[0.,0.,0.,0.],[-0.5557,-0.0851,-0.7828,-0.002 ,-0.7451]
778,[0.,0.,0.,0.],[ 0.612 , 0.4729,-0.4461, 0.8217,-0.9427]
779,[0.,0.,0.,0.],[-0.0398, 0.1307, 0.1407, 0.0058, 0.1046]
787,[0.,0.,0.,0.],[ 0.1347, 0.3504,-0.627 , 0.947 ,-0.5075]
789,[0.,0.,0.,0.],[ 0.3831, 0.0039, 0.2765, 0.1202,-0.0115]
797,[0.,0.,0.,0.],[-0.2124,-0.4432,-0.3155,-0.1718,-0.2747]
798,[0.,0.,0.,0.],[-0.1452,-0.0997,-0.4565, 0.1472,-0.4984]
799,[0.,0.,0.,0.],[-2.4391,-2.5838,-2.5194,-1.7426,-3.7787]
800,[0.,0.,0.,0.],[-2.1947,-1.6502,-2.1283,-0.9367,-3.1864]
801,[0.,0.,0.,0.],[-0.1016,-0.0327,-0.1294,-0.0991,-0.558 ]
802,[0.,0.,0.,0.],[ 0.2743,-0.2319, 0.0053, 0.1216,-0.6146]
810,[0.,0.,0.,0.],[-0.199 ,-0.4322,-0.0659,-0.1667,-0.7741]
812,[0.,0.,0.,0.],[-1.6232,-1.3745,-1.2211,-0.9153,-2.3794]
814,[0.,0.,0.,0.],[-0.1827,-0.1837,-0.1063, 0.4643,-0.2527]
820,[0.,0.,0.,0.],[ 0.0095,-0.2706,-0.4808, 0.0135,-0.4175]
821,[0.,0.,0.,0.],[-0.7776,-1.037 ,-0.3302,-0.6713,-1.8149]
823,[0.,0.,0.,0.],[-0.3971, 0.359 ,-0.2625, 0.1145,-0.2127]
832,[0.,0.,0.,0.],[-0.3186,-0.4269, 0.1436,-0.2953,-0.7285]
834,[0.,0.,0.,0.],[-0.9403,-0.9068,-1.0427, 0.1142,-1.7234]
836,[0.,0.,0.,0.],[-0.1287, 0.2314, 0.368 , 0.0482,-0.3445]
843,[0.,0.,0.,0.],[-0.5293,-0.9405,-0.4495, 1.0824,-1.1816]
845,[0.,0.,0.,0.],[-0.0859, 0.3018,-0.238 , 0.0696,-0.043 ]
854,[0.,0.,0.,0.],[-0.1248, 0.0359,-0.3604,-0.3233,-0.7381]
856,[0.,0.,0.,0.],[-0.0734,-0.7238, 0.4772, 0.5372,-0.9399]
858,[0.,0.,0.,0.],[-0.0147, 0.1778, 0.1238, 0.1627,-0.4684]
863,[0.,0.,0.,0.],[-0.2102,-0.5698,-0.3297,-0.402 ,-0.1873]
865,[0.,0.,0.,0.],[-0.197 ,-0.3298,-0.5207, 1.0611,-0.6643]
867,[0.,0.,0.,0.],[-0.1341, 0.0833, 0.4737, 0.354 ,-0.2375]
869,[0.,0.,0.,0.],[-0.2009,-0.2059,-0.0799,-0.2297,-0.1943]
878,[0.,0.,0.,0.],[-0.3156, 0.1289, 1.6826, 1.4235, 0.0132]
879,[0.,0.,0.,0.],[ 0.4689,-0.0699, 0.129 , 0.5042,-0.1359]
887,[0.,0.,0.,0.],[ 0.2585, 0.0323, 0.1163, 0.4897,-0.3343]
889,[0.,0.,0.,0.],[0.2138,0.5611,0.2374,0.1971,0.0541]
898,[0.,0.,0.,0.],[-0.2461,-0.1916,-0.4422,-0.1269,-0.3428]
899,[0.,0.,0.,0.],[-3.4633,-3.7516,-3.4164,-2.3282,-4.1662]
900,[0.,0.,0.,0.],[-14.2916,-14.6232,-14.5412,-14.7212,-15.0274]
901,[0.,0.,0.,0.],[ 1.9715, 2.2538,-0.325 , 0.1834,-0.5439]
902,[0.,0.,0.,0.],[-0.8394,-0.6542,-0.8649,-1.0223,-1.414 ]
910,[0.,0.,0.,0.],[-2.3162,-2.4628,-2.4719,-1.1482,-3.1227]
912,[0.,0.,0.,0.],[-13.233 ,-13.3583,-13.2977,-12.5875,-13.7191]
914,[192.8266, 26.8945,-33.1883,-30.8294],[ 0.4   ,-0.443 , 1.2566, 0.8517,-0.6316]
921,[0.,0.,0.,0.],[-5.7908,-5.8732,-5.6879,-4.8211,-6.7989]
923,[0.,0.,0.,0.],[7.3819,0.7438,0.3978,0.4268,0.1845]
934,[ 531.7466, 108.0872,-126.2273, -88.1717],[-7.9151,-7.2023,-8.1247,-7.2731,-8.4887]
936,[165.7385, 45.801 ,-51.2032,-27.9389],[ 3.0048, 0.7404, 2.5363, 0.3993,-0.5034]
943,[0.,0.,0.,0.],[-1.3501, 2.3511,-1.1447, 0.0428,-1.6804]
954,[0.,0.,0.,0.],[-3.1386,-2.7069,-3.6367,-2.8952,-3.403 ]
956,[ 481.6538, 168.1442,-184.5228, -79.4815],[-0.7165,-0.949 ,11.4573, 6.3735,-0.9278]
958,[162.142 , 66.4542,-72.7354,-25.0379],[ 1.0664e+00, 8.4568e-01, 4.0699e+00, 3.5755e+00,-2.0993e-03]
963,[0.,0.,0.,0.],[-0.3042,-0.4546,-0.4074,-0.4917,-0.9089]
965,[0.,0.,0.,0.],[-0.306 , 1.1484,-0.8319, 2.3335, 0.2053]
976,[0.,0.,0.,0.],[-0.9749,-1.1323,-1.2301,-0.6755,-1.5424]
978,[ 512.8808, 227.1206,-246.6034, -70.8259],[ 9.6773e-03, 3.1131e-01, 5.8593e-01, 3.3650e+01,-7.1103e-01]
979,[ 375.6515, 170.6495,-184.6157, -43.5144],[0.7491,7.6732,1.848 ,2.9588,0.4905]
